Publication,Year,Month,Last_Name,Paper_Title,Process,Node,f@NFmin,NFmin,fc,NF,Gain,P1dB,I/O_P1dB,IIP3,3dB_BW,Power,Comment
ASSCC,2022,11,Xu,An n79 Sub-1-dB Noise Figure Highly Linear Variable_x0002_Gain LNA Employing Adaptive Imbalanced Bleeding for 5G NR,CMOS,65,4.4,0.74,,,,,,,,,
JSSC,2021,7,Peng,A Cryogenic Broadband Sub-1-dB NF CMOS Low Noise Amplifier for Quantum Applications,CMOS,40,4,0.75,,,,,,,,,
RFIC,2022,6,Zou,A Capacitor Assisting Triple-Winding Transformer Low-Noise Amplifier with 0.8-1.5dB NF 6-12GHz BW 0.75dB Ripple in 130nm SOI CMOS,CMOS SOI,130,8.5,0.8,,,,,,,,,
EuMA,2023,9,Ozdol,A High Linearity 6 GHz LNA in 130 nm SiGe Technology,SiGe BiCMOS,130,6,1.15,,,,,,,,,
IMS,2018,6,Li,LNA Design with CMOS SOI Process—1.4dB NF K/Ka band LNA,CMOS SOI,45,27,1.4,,,,,,,,,
TMTT,2022,4,Huynh,Dual-Resistive Feedback Wideband LNA for Noise Cancellation and Robust Linearization,CMOS,65,1,1.56,,,,,,,,,
ISSCC,2022,2,Yang,A Hybrid Coupler-First 5GHz Noise-Cancelling Dual-Mode Receiver with +10dBm In-Band IIP3 in Current-Mode and 1.7dB NF in Voltage-Mode,CMOS,28,5,1.7,,,,,,,,,
TMTT,2023,1,Zhao,A K-Band Hybrid-Packaged Temperature-Compensated Phased-Array Receiver and Integrated Antenna Array,CMOS,65,16,1.7,,,,,,,,,System
JSSC,2020,5,Cui,"A 1.7-dB Minimum NF, 22–32-GHz Low-Noise Feedback Amplifier With Multistage Noise Matching in 22-nm FD-SOI CMOS",CMOS SOI,22,28,1.73,,,,,,,,,
RFIC,2022,6,Huang,28 GHz Compact LNAs with 1.9 dB NF Using Folded Three-Coil Transformer and Dual-Feedforward Techniques in 65nm CMOS,CMOS,65,29.1,1.9,,,,,,,,,
TMTT,2022,3,Zhou,A 0.1–3.5-GHz Inductorless Noise-Canceling CMOS LNA With IIP3 Optimization Technique,CMOS,65,0.1,2,,,,,,,,,
RFIC,2022,6,Radpour,"An LNAwith Input Power Match from 6.1 to 38.6 GHz, the Noise-Figure Minimum of 1.9 dB, and Employing Back Gate for Matching",CMOS SOI,22,17,2,,,,,,,,,
JSSC,2021,Early Access,Wang,A Ka-Band SATCOM Transceiver in 65-nm CMOS With High-Linearity TX and Dual-Channel Wide-Dynamic-Range RX for Terrestrial Terminal,CMOS,65,20,2,,,,,,,,,
EuMiC,2021,1,Ozkan,A High-Gain SiGe BiCMOS LNA for 5G In-Band Full-Duplex Applications,SiGe BiCMOS,130,25,2,,,,,,,,,
RFIC,2022,6,Radpour,"An LNAwith Input Power Match from 6.1 to 38.6 GHz, the Noise-Figure Minimum of 1.9 dB, and Employing Back Gate for Matching",CMOS SOI,22,26,2,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,25,2.08,,,,,,,,,
MWTL,2023,4,Cai,A Sub-GHz Low-Power Receiver Employing Resistive-Feedback-Tuned LNA With 2.1-dB NF and 106-dB Gain Tuning Range,CMOS,130,0.433,2.1,,,,,,,,,
TCAS II,2023,4,Kobal,"A Compact, Low-Power, Low-NF, Millimeter-Wave Cascode LNA With Magnetic Coupling Feedback in 22-nm FD-SOI CMOS for 5G Applications",CMOS SOI,22,27.5,2.1,,,,,,,,,
JSSC,2020,5,Huang,A 24.5–43.5-GHz Ultra-Compact CMOS Receiver Front End With Calibration-Free Instantaneous Full-Band Image Rejection for Multiband 5G Massive MIMO,CMOS SOI,45,38,2.1,,,,,,,,,Simulated
ICEEICT,2022,6,Shukala,90-nm Dual-Band CMOS LNA with Gain Enhancement for Wireless LAN Applications,CMOS,90,2.4,2.13,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,26,2.2,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,25,2.25,,,,,,,,,
IMS,2020,8,Choi,A CMOS Band-Pass Low Noise Amplifier with Excellent Gain Flatness for mm-Wave 5G Communications,CMOS,65,26,2.27,,,,,,,,,
IMS,2021,6,Zhang,A CMOS LNA with Transformer-Based Integrated Notch Filter for Ku-Band Satellite Communications,CMOS,65,11,2.3,,,,,,,,,
EuMC,2022,9,Fumagalli,20 GHz LNA and 29 GHz PA on SiGe BiCMOS  technology for SatCom phased array systems,SiGe BICMOS,130,20,2.3,,,,,,,,,
TCAS I,2023,3,Li,24–35 GHz Filtering LNA and Filtering Switch Using Compact Mixed Magnetic-Electric Coupling Circuit in 28-nm Bulk CMOS,CMOS,31,25,2.4,,,,,,,,,
MWCL,2021,6,Hu,A 27–46-GHz Low-Noise Amplifier With Dual-Resonant Input Matching and a Transformer-Based Broadband Output Network,CMOS SOI,45,27.7,2.4,,,,,,,,,
TCAS,2023,4,Hu,A Systematic Approach to Designing Broadband Millimeter-Wave Cascode Common-Source With Inductive Degeneration Low Noise Amplifiers,CMOS SOI,45,27.7,2.4,,,,,,,,,
MWCL,2022,2,Meng,A K-Band Ultra-Compact Gm-Boost LNA Using One Multi-Coupled Transformer in 65-nm CMOS,CMOS,65,30,2.4,,,,,,,,,
TCSI,2022,1,Bozorg,A 20 MHz–2 GHz Inductorless Two-Fold Noise-Canceling Low-Noise Amplifier in 28-nm CMOS,CMOS,28,0.6,2.5,,,,,,,,,
APMC,2022,11,Seguchi,1.40/2.42/4.21-GHz Triple-Band Concurrent LNA  Using Inductor Coupling,CMOS,180,1.4,2.5,,,,,,,,,
RFIC,2022,6,Radpour,"An LNAwith Input Power Match from 6.1 to 38.6 GHz, the Noise-Figure Minimum of 1.9 dB, and Employing Back Gate for Matching",CMOS SOI,22,6,2.5,,,,,,,,,
ICICM,2022,8,Linling,A Wideband Low-Noise Amplifier in 0.13-μm CMOS,CMOS,130,10,2.5,,,,,,,,,
RFIC,2022,6,Lin,22-33 GHz CMOS LNA Using Coupled-TL Feedback and Body Self-Forward-Bias for 28 GHz 5G System ,CMOS,90,31,2.5,,,,,,,,,
TCAS II,2022,Early Access,Lin,Design and Analysis of a Wideband K/Ka-Band CMOS LNA Using Coupled-TL Feedback,CMOS,90,31,2.5,,,,,,,,,
BCICTS,2020,11,Alhamed,A 28–37 GHz Triple-Stage Transformer-Coupled SiGe LNA with 2.5 dB Minimum NF for Low Power Wideband Phased Array Receivers,SiGe BiCMOS,180,32.5,2.5,,,,,,,,,
EuMA,2022,9,Nyssens,A 2.5-2.6 dB Noise Figure LNA for 39 GHz band in 22 nm FD-SOI with Back-Gate Bias Tunability,CMOS SOI,22,39,2.5,,,,,,,,,
TMTT,2023,3,Fu,A Millimeter-Wave Concurrent LNA in 22-nm CMOS SOI for 5G Applications,CMOS SOI,22,25,2.55,,,,,,,,,
JSSC,2021,Early Access,Deng,A 22.9-38.2-GHz Dual-Path Noise-Canceling LNA With 2.65-4.62-dB NF in 28-nm CMOS,CMOS,28,30,2.56,,,,,,,,,
TCSII,2022,3,Shirmohammadi,A Linear Wideband CMOS Balun-LNA With Balanced Loads,CMOS,65,2,2.57,,,,,,,,,
JSSC,2021,11,Deng,A 22.9–38.2-GHz Dual-Path Noise-Canceling LNA With 2.65–4.62-dB NF in 28-nm CMOS,CMOS,28,30,2.65,,,,,,,,,
ISSCC,2022,2,Liu,A 0.0078mm2 3.4mW Wideband Positive-feedback-Based Noise-Cancelling LNA in 28nm CMOS Exploiting Gm Boosting,CMOS,28,1,2.7,,,,,,,,,
ISSCC,2022,2,Liu,A 0.0078mm2 3.4mW Wideband Positive-Feedback-Based  Noise-Cancelling LNA in 28nm CMOS Exploiting Gm Boosting,CMOS,28,1.2,2.7,,,,,,,,,
BCICTS,2020,11,Issakov,A 10 mW LNA with Temperature Compensation for 24 GHz Radar Applications in SiGe BiCMOS,SiGe BiCMOS,130,24,2.7,,,,,,,,,
RFIC,2021,6,Li,A Millimeter-Wave LNA in 45nm CMOS SOI with Over 23dB Peak Gain and Sub-3dB NF for Different 5G Operating Bands and Improved Dynamic Range,CMOS SOI,45,28.5,2.7,,,,,,,,,
MWCL,2022,1,Chang,A 13.7-mW 21–29-GHz CMOS LNA With 21.6-dB Gain and 2.74-dB NF for 28-GHz 5G Systems,CMOS,90,25,2.74,,,,,,,,,
TCAS I,2023,1,Kooshkaki,A 36 μW 2.8–3.4 dB Noise Figure Impedance Boosted and Noise Attenuated LNA for NB-IoT,CMOS,65,0.637,2.8,,,,,,,,,
RFIC,2022,6,Zolkov,An Integrated Reconfigurable SAW-Less Quadrature Balanced N-Path Transceiver for Frequency-Division and Half Duplex Wireless,CMOS,65,1,2.8,,,,,,,,,System
TMTT,2021,10,Li,A 24–30-GHz TRX Front-End With High Linearity and Load-Variation Insensitivity for mm-Wave 5G in 0.13-μm SiGe BiCMOS,SiGe BiCMOS,130,28,2.8,,,,,,,,,
MWCL,2023,1,Liu,A 28-/39-GHz Dual-Band CMOS LNA With Shunt-Series Transformer Feedback,CMOS,65,39,2.8,,,,,,,,,
TMTT,2022,3,Zhou,A 0.1–3.5-GHz Inductorless Noise-Canceling CMOS LNA With IIP3 Optimization Technique,CMOS,65,3.5,2.9,,,,,,,,,
MWCL,2022,5,Lee,A 21–41-GHz Common-Gate LNA With TLT Matching Networks in 28-nm FDSOI CMOS,CMOS SOI,28,26,2.92,,,,,,,,,
WMCL,2022,4,Lee,A 21–41-GHz Common-Gate LNA With TLT Matching Networks in 28-nm FDSOI CMOS,CMOS SOI,28,26,2.92,,,,,,,,,
APMC,2022,11,Seguchi,1.40/2.42/4.21-GHz Triple-Band Concurrent LNA  Using Inductor Coupling,CMOS,180,2.42,2.97,,,,,,,,,
ISSCC,2022,2,Liu,A 0.0078mm2 3.4mW Wideband Positive-Feedback-Based  Noise-Cancelling LNA in 28nm CMOS Exploiting Gm Boosting,CMOS,28,2,3,,,,,,,,,
ICMMT,2022,8,Zhang,A 1.5-mA 2.5-GHz LNA With Reusing On-Chip Matching Network in 55nm CMOS Technology,CMOS,55,2.5,3,,,,,,,,,
TCSI,2021,9,Anjos,A Compact 26.5–29.5-GHz LNA-Phase-Shifter Combo With 360° Continuous Phase Tuning Based on All-Pass Networks for Millimeter-Wave 5G,SiGe BiCMOS,250,28,3,,,,,,,,,
TCS,2020,9,Wang,A 22-to-47 GHz 2-Stage LNA With 22.2 dB Peak Gain by Using Coupled L-Type Interstage Matching Inductors,SiGe BiCMOS,130,30,3,,,,,,,,,
WMCL,2022,4,Lee,A 21–41-GHz Common-Gate LNA With TLT Matching Networks in 28-nm FDSOI CMOS,CMOS SOI,28,44,3,,,,,,,,,
APMC,2022,11,Seguchi,1.40/2.42/4.21-GHz Triple-Band Concurrent LNA  Using Inductor Coupling,CMOS,180,4.21,3.02,,,,,,,,,
MWCL,2023,1,Liu,A 28-/39-GHz Dual-Band CMOS LNA With Shunt-Series Transformer Feedback,CMOS,65,28,3.1,,,,,,,,,
RFIC,2019,6,Gao,A 24-43 GHz LNA with 3.1-3.7 dB Noise Figure and Embedded 3-Pole Elliptic High-Pass Response for 5G Applications in 22 nm FDSOI,CMOS SOI,22,29,3.1,,,,,,,,,
ICEEICT,2022,6,Shukala,90-nm Dual-Band CMOS LNA with Gain Enhancement for Wireless LAN Applications,CMOS,90,5.2,3.18,,,,,,,,,
APCCAS,2022,11,Mao,A 0.5 to 2GHz Blocker-Tolerant Receiver Achieving 29dBm OOB-IIP3 and 3.2 to 6dB NF Using Bottom-Plate Switched-Capacitor Technique,CMOS,65,0.5,3.2,,,,,,,,,
APCCAS,2022,11,Liu,A 32dBm OOB-IIP3 BW-Extended 5G-NR Receiver  with 4th-Order Gain-Boosted N-path LNA,CMOS,65,0.5,3.2,,,,,,,,,
TCSI,2022,4,Kim,A Reconfigurable Balun-LNA and Tunable Filter With Frequency-Optimized Harmonic Rejection for Sub-GHz and 2.4 GHz IoT Receivers,CMOS,130,2.4,3.2,,,,,,,,,
TMTT,2021,6,Tang,Design and Analysis of a 28 GHz T/R Front-End Module in 22-nm FD-SOI CMOS Technology,CMOS SOI,22,28,3.2,,,,,,,,,
EuMiC,2021,1,Ferschischi,A Broadband 60-GHz Low Noise Amplifier with 3.2 dB Noise Figure and 24 dB Gain,SiGe BiCMOS,130,60,3.2,,,,,,,,,
ESSCIRC,2014,9,Medra,A 79GHz Variable Gain Low-Noise Amplifier and Power Amplifier in 28nm CMOS Operating up to 125℃,CMOS,28,74,3.2,,,,,,,,,
IMS,2022,6,Zhang,A3.2 mW2.2–13.2 GHz CMOSDifferential Common-Gate LNA for Ultra-Wideband Receivers,CMOS,65,3.8,3.3,,,,,,,,,
TMMT,2022,1,Cheng,A 7.2–27.3 GHz CMOS LNA With 3.51 ±0.21 dB Noise Figure Using Multistage Noise Matching Technique,CMOS,65,7.2,3.3,,,,,,,,,
JSSC,2020,10,Zhang,A 20-GHz 1.9-mW LNA Using gm-Boost and Current-Reuse Techniques in 65-nm CMOS for Satellite Communications,CMOS,65,20,3.3,,,,,,,,,
RFIC,2021,6,Wong,"A 4Rx, 4Tx Ka-band transceiver in 40nm bulk CMOS technology for satellite terminal applications",CMOS,40,20,3.3,,,,,,,,,Receiver Frontend
TMMT,2022,1,Cheng,A 7.2–27.3 GHz CMOS LNA With 3.51 ±0.21 dB Noise Figure Using Multistage Noise Matching Technique,CMOS,65,25,3.3,,,,,,,,,
MWCL,2018,1,Elkholy,A wideband variable gain LNA with high OIP3 for 5G using 40-nm bulk CMOS,CMOS,40,31,3.3,,,,,,,,,
MWCL,2021,5,Sutbas,A V-Band Low-Power Compact LNA in 130-nm SiGe BiCMOS Technology,SiGe BiCMOS,130,60,3.3,,,,,,,,,Simulated
JSSC,2022,2,Shao,A 1.7–3.6 GHz 20 MHz-Bandwidth Channel-Selection N-Path Passive-LNA Using a Switched-Capacitor-Transformer Network Achieving 23.5 dBm OB-IIP3 and 3.4–4.8 dB NF,CMOS,28,3,3.4,,,,,,,,,
IMS,2022,6,Zhang,A3.2 mW2.2–13.2 GHz CMOSDifferential Common-Gate LNA for Ultra-Wideband Receivers,CMOS,65,10,3.5,,,,,,,,,
RFIC,2021,6,Ershadi,A 22.2-43 GHz Gate-Drain Mutually Induced Feedback Low Noise Amplifier in 28-nm CMOS,CMOS,28,30,3.5,,,,,,,,,
RFIIC,2021,6,Ershadi,A 22.2-43 GHz Gate-Drain Mutually Induced Feedback Low Noise Amplifier in 28-nm CMOS,CMOS,28,30,3.5,,,,,,,,,
JSSC,2021,10,Zhou,A −28.5-dB EVM 64-QAM 45-GHz Transceiver for IEEE 802.11aj,SiGe BiCMOS,120,41,3.5,,,,,,,,,
JSSC,2021,10,Zhou,A −28.5-dB EVM 64-QAM 45-GHz Transceiver for IEEE 802.11aj,SiGe BiCMOS,120,41,3.5,,,,,,,,,
JSSC,2021,10,Zhou,A −28.5-dB EVM 64-QAM 45-GHz Transceiver for IEEE 802.11aj,SiGe BiCMOS,120,50,3.5,,,,,,,,,
RFIC,2022,6,Shahramian,An All-Silicon E-Band Backhaul-on-Glass Frequency Division Duplex Module with >24dBm PSAT & 8dB NF,SiGe BiCMOS,130,72,3.5,,,,,,,,,
CICC,2021,4,Deng,"A 3.6dB NF, 23-39GHz Reflectionless RX with Absorptive Amplifier and Dual-Path Noise Cancelling LNA Supporting 64-QAM/256-QAM/1024-QAM for 5G NR",CMOS,28,31,3.6,,,,,,,,,
JSSC,2022,1,Deng,A Reflectionless Receiver With Absorptive IF Amplifier and Dual-Path Noise-Canceling LNA,CMOS,28,31,3.6,,,,,,,,,
IEEE ACCESS,2023,1,Jeong,Calibration-Free Blocker Rejection Broadband CMOS Low Noise Amplifier for Advanced Cellular Applications,CMOS,65,0.8,3.7,,,,,,,,,System
RFIC,2022,6,Wang,A0.5-4GHz Full-Duplex Receiver with Multi-Domain Self-Interference Cancellation Using Capacitor Stacking Based Second-Order Delay Cells in RF Canceller,CMOS,65,2,3.7,,,,,,,,,
TMMT,2022,1,Cheng,A 7.2–27.3 GHz CMOS LNA With 3.51 ±0.21 dB Noise Figure Using Multistage Noise Matching Technique,CMOS,65,15,3.7,,,,,,,,,
JSSC,2021,8,Garg,A 28-GHz Beam-Space MIMO RX With Spatial Filtering and Frequency-Division Multiplexing-Based Single-Wire IF Interface,CMOS,65,28,3.75,,,,,,,,,Simulated
ICCS,2021,,Wang,A 2~10 GHz Ultra-Wideband LNA in 0.13 μm SiGe BiCMOS Technology,SiGe BiCMOS,130,4,3.8,,,,,,,,,
TCS,2020,8,Shaheen,Millimeter-wave Frequency Reconfigurable Low Noise Amplifiers for 5G,CMOS SOI,45,22,3.8,,,,,,,,,
CICC,2022,4,Deng,"A 3.8-dB NF, 23-40GHz Phased-Array Receiver with 14-Bit Phase & Gain Manager and Calibration-Free Dual-Mode  28-52dB Image Rejection Ratio for 5G NR",CMOS,40,28,3.8,,,,,,,,,
JSSC,2023,3,Deng,A 23–40-GHz Phased-Array Receiver Using 14-Bit Phase-Gain Manager and Wideband Noise-Canceling LNA,CMOS,40,30,3.8,,,,,,,,,
RFIC,2022,6,Shahramian,An All-Silicon E-Band Backhaul-on-Glass Frequency Division Duplex Module with >24dBm PSAT & 8dB NF,SiGe BiCMOS,130,81,3.8,,,,,,,,,
IMS,2021,6,Liang,"A 0.6-V VDD, 3.8-dB Minimum Noise Figure, 19.5-62.5-GHz Low Noise Amplifier in 28-nm Bulk CMOS ",CMOS ,28,24.5,3.83,,,,,,,,,
MWTL,2023,3,Bae,Dual-Band CMOS Low-Noise Amplifier Employing Transformer-Based Band-Switchable Load for 5G NR FR2 Applications,CMOS,65,28,3.84,,,,,,,,,
MWCL,2022,2,Meng,A K-Band Ultra-Compact Gm-Boost LNA Using One Multi-Coupled Transformer in 65-nm CMOS,CMOS,65,21,3.9,,,,,,,,,
JSSC,2021,Early Access,Su,A 24-GHz Fully Integrated CMOS Transceiver for FMCW Radar Applications,CMOS,55,24,4,,,,,,,,,
IWS,2021,5,Cheng,A 22-34 GHz Wide-Band Low Noise Amplifier with 22 dB Gain and 4 dB NF,CMOS,65,26,4,,,,,,,,,
JSSC,2020,8,Deng,An Energy-Efficient 10-Gb/s CMOS Millimeter-Wave Transceiver With Direct-Modulation Digital Transmitter and I/Q Phase-Coupled Frequency Synthesizer,CMOS ,65,60,4,,,,,,,,,Simulated
MWSYM,2013,6,Ulusoy,A 110 GHz LNA with 20 dB Gain and 4 dB Noise Figure in an 0.13 μm SiGe BiCMOS Technology,SiGe BiCMOS,130,110,4,,,,,,,,,
IMS,2013,1,Ulusoy,A 110 GHz LNA with 20dB gain and 4dB noise figure in an 0.13μm SiGe BiCMOS technology,SiGe BiCMOS,130,110,4,,,,,,,,,
MWSCAS,2019,10,Wei,"A 140 GHz, 4 dB Noise-Figure Low-Noise Amplifier Design with the Compensation of Parasitic Capacitance CGS",CMOS,28,140,4,,,,,,,,,Simulated
IWS,2021,,Cheng,A K-Band Variable Gain Low-Noise Amplifier with Low Phase Variation in 65-nm CMOS,CMOS,65,20,4.1,,,,,,,,,
IWS,2021,5,Cheng,A K-Band Variable Gain Low-Noise Amplifier with Low Phase Variation in 65-nm CMOS ,CMOS,65,20,4.1,,,,,,,,,
CICC,2022,4,Deng,"A 3.8-dB NF, 23-40GHz Phased-Array Receiver with 14-Bit Phase & Gain Manager and Calibration-Free Dual-Mode  28-52dB Image Rejection Ratio for 5G NR",CMOS,40,25,4.1,,,,,,,,,
JSSC,2019,5,Pang,A 28-GHz CMOS Phased-Array Transceiver Based on LO Phase-Shifting Architecture With Gain Invariant Phase Tuning for 5G New Radio,CMOS,65,28,4.1,,,,,,,,,Receiver Frontend
JSSC,2022,2,Wang,A K a-Band SATCOM Transceiver in 65-nm CMOS With High-Linearity TX and Dual-Channel Wide-Dynamic-Range RX for Terrestrial Terminal,CMOS,65,21,4.2,,,,,,,,,
ISCAS,2020,10,Zhao,A 28-GHz Massive MIMO Receiver Deploying One-Bit Direct Detection with Wireless Synchronization,SiGe BiCMOS,180,28,4.2,,,,,,,,,Receiver Frontend
ISCAS,2020,10,Zhao,A 28-GHz Massive MIMO Receiver Deploying One-Bit Direct Detection with Wireless Synchronization,SiGe BiCMOS,180,28,4.2,,,,,,,,,Receiver Frontend
JSSC,2020,9,Pang,A 28-GHz CMOS Phased-Array Beamformer Utilizing Neutralized Bi-Directional Technique Supporting Dual-Polarized MIMO for 5G NR,CMOS,65,28,4.2,,,,,,,,,2x2 Array
CICC,2022,4,Deng,"A 3.8-dB NF, 23-40GHz Phased-Array Receiver with 14-Bit Phase & Gain Manager and Calibration-Free Dual-Mode  28-52dB Image Rejection Ratio for 5G NR",CMOS,40,35,4.2,,,,,,,,,
MWTL,2023,Early Access,Huang,A 30–50-GHz Ultralow-Power Low-Noise Amplifier With Second-Stage Current-Reuse for Radio Astronomical Receivers in 90-nm CMOS Process,CMOS,90,40,4.2,,,,,,,,,
APMC,2018,11,Ustundag,Low-Noise Amplifiers for W-band and D-band Passive Imaging Systems in SiGe BiCMOS Technology ,SiGe BiCMOS,130,80,4.2,,,,,,,,,
TCASII,2020,1,Ustundag,Front-End Blocks of a W-Band Dicke Radiometer in SiGe BiCMOS Technology,SiGe BiCMOS,130,80,4.2,,,,,,,,,
MWTL,2023,3,Lei,A 5–6-GHz CMOS Beamforming Transceiver Front-End for Fiber-to-the-Room All-Optical Wi-Fi Solution,CMOS,55,5.3,4.3,,,,,,,,,
JSSC,2019,12,Huang,A Mm-Wave Wideband MIMO RX With Instinctual Array-Based Blocker/Signal Management for Ultralow-Latency Communication,CMOS SOI,45,29,4.3,,,,,,,,,Receiver Frontend
RFIC,2020,8,Zhu,A 24-28 GHz Power and Area Efficient 4-Element Phased-Array Transceiver Front-End with 21.1%/16.6%Transmitter Peak/OP1dB PAE Supporting 2.4 Gb/s in 256-QAM for 5-G Communications,CMOS,65,26,4.4,,,,,,,,,Receiver Frontend
IWS,2022,6,Chen,A Ka-band High Gain Wideband Low Noise  Amplifier in 0.18-μm SiGe BiCMOS ,SiGe BiCMOS,180,35,4.4,,,,,,,,,
MWCL,2021,8,Morath,A 3.6 mW 60 GHz Low-Noise Amplifier With 0.6 ns Settling Time for Duty-Cycled Receivers,CMOS SOI,22,60,4.4,,,,,,,,,
ICTA,2022,10,Ke,A Compact 60 GHz LNA with 22.7-dB Gain and 4.4-dB NF in 40nm CMOS,CMOS,40,60,4.4,,,,,,,,,
MWTL,2023,3,Bae,Dual-Band CMOS Low-Noise Amplifier Employing Transformer-Based Band-Switchable Load for 5G NR FR2 Applications,CMOS,65,38,4.47,,,,,,,,,
TMTT,2022,3,Shin,A Blocker-Tolerant Receiver Front End Employing Dual-Band N-Path Balun-LNA for 5G New Radio Cellular Applications,CMOS,65,2.14,4.5,,,,,,,,,
TCS,2020,8,Shaheen,Millimeter-wave Frequency Reconfigurable Low Noise Amplifiers for 5G,CMOS SOI,45,24,4.5,,,,,,,,,
TCS,2020,8,Shaheen,Millimeter-wave Frequency Reconfigurable Low Noise Amplifiers for 5G,CMOS SOI,45,28,4.5,,,,,,,,,
JSSC,2021,5,Frounchi,Millimeter-Wave SiGe Radiometer Front End With Transformer-Based Dicke Switch and On-Chip Calibration Noise Source,SiGe BiCMOS,130,51,4.5,,,,,,,,,
JSSC,2021,5,Frounchi,Millimeter-Wave SiGe Radiometer Front End With Transformer-Based Dicke Switch and On-Chip Calibration Noise Source,SiGe BiCMOS,130,51,4.5,,,,,,,,,
MWCL,2021,1,Li,A High Linearity W-Band LNA With 21-dB Gain and 5.5-dB NF in 0.13 μm SiGe BiCMOS,SiGe BICMOS,130,73,4.5,,,,,,,,,
EuMC,2021,1,Li,A High Linearity W-Band LNA With 21-dB Gain and 5.5-dB NF in 0.13 μm SiGe BiCMOS,SiGe BiCMOS,130,76,4.5,,,,,,,,,
MWCL,2015,1,Ulusoy,A SiGe D-Band Low-Noise Amplifier Utilizing Gain-Boosting Technique,SiGe BiCMOS,SG13G2,110,4.5,,,,,,,,,
