Publication,Year,Month,Last_Name,Paper_Title,Process,Node,f@NFmin,NFmin,fc,NF,Gain,P1dB,I/O_P1dB,IIP3,3dB_BW,Power,Comment
IMS,2020,8,Liang,A Tri (K/Ka/V)-Band Monolithic CMOS Low Noise Amplifier with Shared Signal Path and Variable Gains,CMOS,28,33,4.55,,,,,,,,,
MWCL,2022,4,Qiu,Ultralow Power E-Band Low-Noise Amplifier With Three-Stacked Current-Sharing Amplification Stages in 28-nm CMOS,CMOS,28,74,4.56,,,,,,,,,
APMC,2022,11,Huang,"A Low Power, Wideband Low-Noise Amplifier with Current-Reused  Techniques in 0.18-μm CMOS for 5G Wireless Systems",CMOS,180,20.5,4.6,,,,,,,,,
ISSCC,2023,2,Han,"A 4.8dB NF, 70-to-86GHz Deep-Noise-Canceling LNA Using  Asymmetric Compensation Transformer and 4-to-1  Hybrid-Phase Combiner in 40nm CMOS",CMOS,40,73,4.6,,,,,,,,,
TMTT,2020,1,Gao,Design of E- and W-Band Low-Noise Amplifiers in 22-nm CMOS FD-SOI,CMOS SOI,22,77,4.6,,,,,,,,,
IWS,2021,5,Chen,A CMOS Low-Power Variable-Gain LNA Based on Triple Cascoded Common-Source Amplifiers and Forward-Body-Bias Technology,CMOS,65,20,4.7,,,,,,,,,
IMS,2021,6,Chiu,A Ka-Band Transformer-Based Switchless Bidirectional PA-LNA in 90-nm CMOS Process,CMOS,90,36,4.7,,,,,,,,,
TMTT,2021,5,Yun,A D-Band High-Gain and Low-Power LNA in 65-nm CMOS by Adopting Simultaneous Noiseand Input-Matched Gmax-Core,CMOS,65,148,4.7,,,,,,,,,
TMTT,2021,5,Liang,A K/Ka/V Triband Single-Signal-Path Receiver With Variable-Gain Low-Noise Amplifier and Constant-Gain Phase Shifter in 28-nm CMOS,CMOS,28,27,4.78,,,,,,,,,Receiver Frontend
JSSC,2022,2,Shao,A 1.7–3.6 GHz 20 MHz-Bandwidth Channel-Selection N-Path Passive-LNA Using a Switched-Capacitor-Transformer Network Achieving 23.5 dBm OB-IIP3 and 3.4–4.8 dB NF,CMOS,28,1.7,4.8,,,,,,,,,
RFIC,2021,6,Kazan,A 10–110 GHz LNA with 19-25.5 dB Gain and 4.8-5.3 dB NF for Ultra-Wideband Applications in 90nm SiGe HBT Technology,SiGe BiCMOS,90,30,4.8,,,,,,,,,
RFIC,2022,6,Zhao,A 29-to-36GHz 4TX/4RX Dual-Stream Phased-Array Joint Radar-Communication CMOS Transceiver Supporting Centimeter-Level 2D Imaging and 64-QAM OTA Wireless Link,CMOS,65,32,4.8,,,,,,,,,
IMS,2020,8,Alhamed,A Multi-Standard 15-57 GHz 4-Channel Receive Beamformer with 4.8 dB Midband NF for 5G Applications,SiGe BiCMOS,90,35,4.8,,,,,,,,,
MWCL,2022,3,Wang,An E-Band High-Performance Variable Gain Low Noise Amplifier for Wireless Communications in 90-nm CMOS Process,CMOS,90,76,4.8,,,,,,,,,
JSSC,2020,12,Li,Multi-Feed Antenna and Electronics Co-Design: An E-Band Antenna-LNA Front End With On-Antenna Noise-Canceling and Gm-Boosting,CMOS SOI,45,78,4.8,,,,,,,,,
IWS,2020,9,Luo,A SiGe BiCMOS W-Band Low Noise Amplifier with Active Bias Control and Internal Stabilization Technique,SiGe BiCMOS,130,100,4.8,,,,,,,,,
EuMiC,2021,1,Xu,A 28 GHz and 38 GHz High-Gain Dual-Band LNA for 5G Wireless Systems in 22 nm FD-SOI CMOS,CMOS SOI,22,38,4.9,,,,,,,,,
TCS,2020,8,Shaheen,Millimeter-wave Frequency Reconfigurable Low Noise Amplifiers for 5G,CMOS SOI,45,39,4.9,,,,,,,,,
CICC,2021,5,Zhu,An Ultra-Compact 84.9-107GHz LNA with 4.9dB NF by Utilizing Coupled-line-based Gm-Boosting and NoiseCanceling Techniques in 65-nm CMOS Technology,CMOS,65,95.6,4.9,,,,,,,,,
RFIC,2020,8,Wang,A CMOS Ka-Band SATCOM Transceiver with ACI-Cancellation Enhanced Dual-Channel Low-NF Wide-Dynamic-Range RX and High-Linearity TX,CMOS,65,19,5,,,,,,,,,
RFIC,2020,8,Wang,A CMOS Ka-Band SATCOM Transceiver with ACI-Cancellation Enhanced Dual-Channel Low-NF Wide-Dynamic-Range RX and High-Linearity TX,CMOS,65,19,5,,,,,,,,,
EuMC,2021,1,Hietanen,Ka-Band TDD Front-End with Gate Shunt Switched Cascode LNA and Three-Stack PA on 22nm FDSOI CMOS Technology,CMOS SOI,22,25,5,,,,,,,,,Receiver Frontend
IWS,2021,5,Chen,A CMOS Low-Power Variable-Gain LNA Based on Triple Cascoded Common-Source Amplifiers and Forward-Body-Bias Technology,CMOS,65,26,5,,,,,,,,,
MWCL,2022,4,Liu,A 26–31 GHz Linearized Wideband CMOS LNA Using Post-Distortion Technique,CMOS,65,28,5,,,,,,,,,
IMS,2021,6,Liang,"A 0.6-V VDD, 3.8-dB Minimum Noise Figure, 19.5-62.5-GHz Low Noise Amplifier in 28-nm Bulk CMOS ",CMOS ,28,40,5,,,,,,,,,
JSSC,2023,4,Li,A 39-GHz CMOS Bidirectional Doherty Phased_x0002_Array Beamformer Using Shared-LUT DPD With Inter-Element Mismatch Compensation Technique for 5G Base Station,CMOS,65,41,5,,,,,,,,,
RFIC,2022,6,Venkatesh,Active Tunable Millimeter-wave Reflective Surface across 57-64 GHz for Blockage Mitigation and Physical Layer Security,CMOS,65,57,5,,,,,,,,,
IMS,2021,6,Liang,"A 0.6-V VDD, 3.8-dB Minimum Noise Figure, 19.5-62.5-GHz Low Noise Amplifier in 28-nm Bulk CMOS ",CMOS ,28,60,5,,,,,,,,,
EuMC,2021,1,Li,A High Linearity W-Band LNA With 21-dB Gain and 5.5-dB NF in 0.13 μm SiGe BiCMOS,SiGe BiCMOS,130,83,5,,,,,,,,,
MWCL,2017,2,Karaca,"A 75.5-to-120.5-GHz, High-gain CMOS Low-Noise Amplifier",CMOS SOI,28,105,5,,,,,,,,,
SSCL,2021,1,Karakuzulu,Full D-Band Transmit–Receive Module for Phased Array Systems in 130-nm SiGe BiCMOS,SiGe BICMOS,130,110,5,,,,,,,,,
JSSC,2021,6,Jang,120-GHz Wideband I/Q Receiver Based on Baseband Equalizing Technique,CMOS,40,123,5,,,,,,,,,
ISCAS,2021,4,Zhang,A 64-84 GHz CMOS LNA with Excellent Gain Flatness for Wideband mmW Applications,CMOS,55,75,5.09,,,,,,,,,
ASSCC,2021,11,Huang,A 24-30GHz 4-Element Phased Array Transceiver with Low Insertion Loss Compact T/R Switch and Bidirectional Phase Shifter in 65 nm CMOS Technology,CMOS,65,26,5.1,,,,,,,,,
TMTT,2021,5,Liang,A K/Ka/V Triband Single-Signal-Path Receiver With Variable-Gain Low-Noise Amplifier and Constant-Gain Phase Shifter in 28-nm CMOS,CMOS,28,30,5.12,,,,,,,,,Receiver Frontend
ICTA,2020,11,Lv,A 24-27GHz Phased Array Transceiver with 6bit Phase Shifter and 31.5dB Gain Control for 5G Communication in 65nm CMOS,CMOS,65,26,5.2,,,,,,,,,
ISSCC,2022,2,Park,A 26-to-39GHz Broadband Ultra-Compact High-Linearity Switchless Hybrid N/PMOS Bi-Directional PA/LNA Front-End for Multi-Band 5G Large-Scaled MIMO System,CMOS SOI,45,26,5.2,,,,,,,,,
ISSCC,2022,2,Park,A 26-to-39GHz Broadband Ultra-Compact High-Linearity Switchless Hybrid N/PMOS Bi-Directional PA/LNA Front-End for Multi-Band 5G Large-Scaled MIMO System,CMOS SOI,45,27,5.2,,,,,,,,,
EuMiC,2021,1,Xu,A 28 GHz and 38 GHz High-Gain Dual-Band LNA for 5G Wireless Systems in 22 nm FD-SOI CMOS,CMOS SOI,22,28,5.2,,,,,,,,,
MWCL,2021,5,Liang,A 0.6-V VDD W-Band Neutralized Differential Low Noise Amplifier in 28-nm Bulk CMOS,CMOS,28,89,5.2,,,,,,,,,
BCICTS,2018,11,Simsek,A 140 GHz MIMO Transceiver in 45 nm SOI CMOS,CMOS SOI,45,140,5.2,,,,,,,,,Simulated
VLSI,2020,6,Pang,A 28-GHz CMOS Phased-Array Beamformer Supporting Dual-Polarized MIMO with Cross-Polarization Leakage Cancellation,CMOS,65,28,5.4,,,,,,,,,Bidirectional
ISCAS,2021,4,Xu,A Ka-Band Quadrature-Hybrid LNA-PS with Gm- Boosting Technique in 40-nm CMOS,CMOS,40,32,5.4,,,,,,,,,
MWCL,2022,1,Li,A 50–67-GHz Ultralow-Power LNA Using Double-Transformer-Coupling Technique and Self-Resonant Matching in 90-nm CMOS,CMOS,90,55,5.4,,,,,,,,,
MWCL,2021,Early Access,Li,A 50-67-GHz Ultralow-Power LNA Using Double-Transformer-Coupling Technique and Self-Resonant Matching in 90-nm CMOS,CMOS,90,56,5.4,,,,,,,,,
EuMA,2022,9,Naskas,Wideband mmWave Transceiver IC for 5G Radios,SiGe BiCMOS,130,27,5.5,,,,,,,,,System
IMS,2022,6,Spasaro,Sub-mW 30GHz Variable-Gain LNA in 22nm FDSOI CMOS for LowPower Tapered mm-Wave 5G/6G Phased-Array Receivers ,CMOS SOI,22,30.1,5.5,,,,,,,,,
ASSCC,2022,11,Li,A 32.2-38.2 GHz Broadband 4-Channel TRx Beamformer with Embedded 3-Winding Transformer Based PA/LNA FE and High Resolution Phase/Amplitude Control,CMOS,65,35,5.5,,,,,,,,,System
TCS,2020,8,Shaheen,Millimeter-wave Frequency Reconfigurable Low Noise Amplifiers for 5G,CMOS SOI,45,39,5.5,,,,,,,,,
EuMiC,2021,1,Londhe,34-42GHz CMOS Transceiver Frontend for Versatile Arrays,CMOS,130,40,5.5,,,,,,,,,
RFIC,2022,6,Ravallec,A Compact 28-nm FD-SOI CMOS 76-81 GHz Automotive Band Receiver Path with Accurate 0.2° Phase Control Resolution,CMOS SOI,28,81,5.5,,,,,,,,,
EuMC,2021,1,Li,A High Linearity W-Band LNA With 21-dB Gain and 5.5-dB NF in 0.13 μm SiGe BiCMOS,SiGe BiCMOS,130,85,5.5,,,,,,,,,
MWCL,2015,1,Ulusoy,A SiGe D-Band Low-Noise Amplifier Utilizing Gain-Boosting Technique,SiGe BiCMOS,SG13G2,140,5.5,,,,,,,,,
IMS,2020,8,Liang,A Tri (K/Ka/V)-Band Monolithic CMOS Low Noise Amplifier with Shared Signal Path and Variable Gains,CMOS,28,24,5.63,,,,,,,,,
TCS,2020,9,Lee,Dual Q/V-Band SiGe BiCMOS Low Noise Amplifiers Using Q-Enhanced Metamaterial Transmission Lines,SiGe BiCMOS,180,44,5.7,,,,,,,,,
MWCL,2022,5,Zhang,A 76.5–92.6 GHz CMOS LNA Using Two-Port k Q-Product Theory for Transformer Design,CMOS,40,90,5.7,,,,,,,,,
MWCL,2022,4,Zhang,A 76.5–92.6 GHz CMOS LNA Using Two-Port k Q-Product Theory for Transformer Design,CMOS,40,91,5.7,,,,,,,,,
EuMA,2022,9,Huang,A V-band Double-Transformer-Coupling and Current Steering VGLNA in 90-nm CMOS,CMOS,90,53,5.8,,,,,,,,,
TCS,2020,9,Lee,Dual Q/V-Band SiGe BiCMOS Low Noise Amplifiers Using Q-Enhanced Metamaterial Transmission Lines,SiGe BiCMOS,180,60,5.8,,,,,,,,,
TMTT,2020,1,Gao,Design of E- and W-Band Low-Noise Amplifiers in 22-nm CMOS FD-SOI,CMOS SOI,22,96,5.8,,,,,,,,,
EuMA,2022,9,Hetterle,Design of a Low Voltage D-band LNA in 22 nm FDSOI,CMOS SOI,22,130,5.8,,,,,,,,,
EuMA,2022,9,Li,A 79 GHz reconfigurable highly linear Low-Noise Amplifier for Civil-Automotive Short-Range-Radars in 22-nm FD-SOI CMOS,CMOS SOi,22,83,5.9,,,,,,,,,
APMC,2018,11,Ustundag,Low-Noise Amplifiers for W-band and D-band Passive Imaging Systems in SiGe BiCMOS Technology ,SiGe BiCMOS,130,140,5.9,,,,,,,,,
IMS,2020,8,Liang,A Tri (K/Ka/V)-Band Monolithic CMOS Low Noise Amplifier with Shared Signal Path and Variable Gains,CMOS,28,50,5.96,,,,,,,,,
ESSCIRC,2022,9,Jin,An FDD Auxiliary Receiver with a Highly Linear Low Noise Amplifier,CMOS,28,2,6,,,,,,,,,
CICC,2022,4,Deng,"A 3.8-dB NF, 23-40GHz Phased-Array Receiver with 14-Bit Phase & Gain Manager and Calibration-Free Dual-Mode  28-52dB Image Rejection Ratio for 5G NR",CMOS,40,40,6,,,,,,,,,
MWSYM,2012,6,De-Ren,"A 75.5-to-120.5-GHz, High-gain CMOS Low-Noise Amplifier",CMOS,65,96,6,,,,,,,,,
MWCL,2013,5,Bi,"A 19.2 mW, > 45 dB Gain and High-Selectivity 94 GHz LNA in 0.13 SiGe BiCMOS",SiGe BiCMOS,130,105,6,,,,,,,,,
EuMiC,2021,1,Maiwald,A Full D-Band Low Noise Amplifier in 130 nm SiGe BiCMOS using Zero-Ohm Transmission Lines,SiGe BiCMOS,130,110,6,,,,,,,,,
EuMIC,2021,1,Maiwald,A Full D-Band Low Noise Amplifier in 130 nm SiGe BiCMOS using Zero-Ohm Transmission Lines,SiGe BICMOS,130,120,6,,,,,,,,,
ISSCC,2022,2,Shao,A 266μW Bluetooth Low-Energy (BLE) Receiver Featuring an  N-Path Passive Balun-LNA and a Pipeline Down-Mixing BB-Extraction Scheme Achieving 77dB SFDR and -3dBm OOB-B-1dB,CMOS,28,2.4,6.1,,,,,,,,,
EuMIC,2021,1,Yishay,A 95-135 GHz Low Power Dicke Radiometer in SiGe BiCMOS Technology,SiGe BiCMOS,120,110,6.1,,,,,,,,,
MWTL,2023,2,Mehta,A 140–220-GHz Low-Noise Amplifier With 6-dB Minimum Noise Figure and 80-GHz Bandwidth in 130-nm SiGe BiCMOS,SiGe BiCMOS,130,190,6.1,,,,,,,,,
TCAS II,2023,5,Lee,A Compact 0.2-1.6 GHz 20 MHz-Bandwidth Passive-LNA Exploiting An N-Path 1:3 Transformer,CMOS,55,0.3,6.2,,,,,,,,,
JSSC,2020,11,Tang,A 4TX/4RX Pulsed Chirping Phased-Array Radar Transceiver in 65-nm CMOS for X-Band Synthetic Aperture Radar Application,CMOS,65,10,6.2,,,,,,,,,Receiver Frontend
ISCAS,2019,5,Yeh,A W-Band 6.8 mW Low-Noise Amplifier in 90 nm CMOS Technology Using Noise Measure,CMOS,90,99,6.2,,,,,,,,,
EuMIC,2015,12,Yishay,Key components of a D-band Dicke-radiometer in 90 nm SiGe BiCMOS technology,SiGe BiCMOS,90,140,6.2,,,,,,,,,
IMS,2022,6,Song,A 94GHz FMCW Radar Transceiver with  17dBm Output Power and 6.25dB NF in 65nm CMOS ,CMOS,65,94,6.25,,,,,,,,,
MWCL,2019,6,Pan,A 60–90-GHz CMOS Double-Neutralized LNA Technology With 6.3-dB NF and −10 dBm P−1 dB,CMOS,65,88,6.3,,,,,,,,,
ISSCC,2016,2,Vigilante,A 68.1-to-96.4GHz Variable-Gain Low-Noise Amplifier in 28nm CMOS,CMOS,28,89.5,6.4,,,,,,,,,
RFIC,2020,6,Li,A 134-149 GHz IF Beamforming Phased-Array Receiver Channel with 6.4-7.5 dB NF Using CMOS 45nm RFSOI,CMOS SOI,45,144,6.4,,,,,,,,,
JSSC,2022,2,Li,An Eight-Element 140-GHz Wafer-Scale IF Beamforming Phased-Array Receiver With 64-QAM Operation in CMOS RFSOI,CMOS SOI,45,144,6.4,,,,,,,,,Receiver Frontend
ISCAS,2019,5,Yeh,A W-Band 6.8 mW Low-Noise Amplifier in 90 nm CMOS Technology Using Noise Measure,CMOS,90,97,6.5,,,,,,,,,
TMTT,2018,3,Parveg,Design of a D-Band CMOS Amplifier Utilizing Coupled Slow-Wave Coplanar Waveguides,CMOS SOI,28,147,6.5,,,,,,,,,
JSSC,2010,10,Tomkins,A Passive W-Band Imaging Receiver in 65-nm Bulk CMOS,CMOS,65,88,6.8,,,,,,,,,
JSSC,2021,5,Arai,A 77-GHz 8RX3TX Transceiver for 250-m Long-Range Automotive Radar in 40-nm CMOS Technology,CMOS,40,76,6.9,,,,,,,,,
JSSC,2021,5,Lu,A 16-Element Fully Integrated 28-GHz Digital RX Beamforming Receiver,CMOS,40,28,7,,,,,,,,,"16 Elements Array, Antenna to Digital"
JSSC,2020,5,Wang,A 39-GHz 64-Element Phased-Array Transceiver With Built-In Phase and Amplitude Calibrations for Large-Array 5G NR in 65-nm CMOS,CMOS,65,39,7,,,,,,,,,
IMS,2020,8,Alhamed,A Multi-Standard 15-57 GHz 4-Channel Receive Beamformer with 4.8 dB Midband NF for 5G Applications,SiGe BiCMOS,90,40,7,,,,,,,,,
MWCL,2022,4,Zhang,A 76.5–92.6 GHz CMOS LNA Using Two-Port k Q-Product Theory for Transformer Design,CMOS,40,80,7,,,,,,,,,
JSSC,2011,2,Zhou,A W-band CMOS Receiver Chipset for Millimeter-Wave Radiometer Systems,CMOS,65,90,7,,,,,,,,,
JSSC,2021,10,Hamza,A Full-Duplex Rake Receiver Using RF Code-Domain Signal Processing for Multipath Environments,CMOS SOI,45,0.996,7.1,,,,,,,,,System
JSSC,2020,8,Deng,An Energy-Efficient 10-Gb/s CMOS Millimeter-Wave Transceiver With Direct-Modulation Digital Transmitter and I/Q Phase-Coupled Frequency Synthesizer,CMOS,65,61,7.1,,,,,,,,,Receiver Frontend
MWCL,2016,2,Feng,An 88.5–110 GHz CMOS Low-Noise Amplifier for Millimeter-Wave Imaging Applications,CMOS,65,104,7.2,,,,,,,,,
MWCL,2016,2,Feng,An 88.5–110 GHz CMOS Low-Noise Amplifier for Millimeter-Wave Imaging Applications,CMOS,65,104,7.2,,,,,,,,,
ISCAS,2021,5,Ryynänen,A Compact Low-Power 140-GHz Low-Noise Amplifier with 19-dB Gain and 7-dB NF,SiGe BiCMOS,130,120,7.2,,,,,,,,,Simulated
MWTL,2023,Early Access,Moradinia,A SiGe HBT D-Band LNA Utilizing Asymmetric Broadside Coupled Lines,SiGe BiCMOS,90,139.8,7.2,,,,,,,,,
MWTL,2023,Early Access,Qian,Millimeter-Wave CMOS Low-Noise Amplifier With High Gain and Compact Footprint,CMOS,180,24.8,7.3,,,,,,,,,
MWCL,2023,Early Access,Kim,28-GHz Bidirectional RF CMOS Amplifier Employing Body-Effect Control,CMOS,65,28,7.3,,,,,,,,,
ISSCC,2009,2,Sandstrom,W-band CMOS amplifiers achieving +10dBm saturated output oower and 7.5dB NF,CMOS,65,100,7.5,,,,,,,,,
IMS,2022,6,Artz,AFully-Differential 146.6-157.4 GHz LNA Utilizing Back Gate Control to Adjust Gain in 22 nm FDSOI,CMOS SOI,22,153,7.5,,,,,,,,,
TMTT,2021,7,Wang,A 24–44 GHz Broadband Transmit–Receive Front End in 0.13-μm SiGe BiCMOS for Multistandard 5G Applications,SiGe BiCMOS,130,31,7.6,,,,,,,,,Receiver Frontend
TMTT,2019,2,Li,A Flip-Chip-Assembled W-Band Receiver in 90-nm CMOS and IPD Technologies,CMOS,90,90,7.8,,,,,,,,,
ISSCC,2022,2,Park,A 26-to-39GHz Broadband Ultra-Compact High-Linearity Switchless Hybrid N/PMOS Bi-Directional PA/LNA Front-End for Multi-Band 5G Large-Scaled MIMO System,CMOS SOI,45,39,7.9,,,,,,,,,
EuMiC,2021,1,Maiwald,A Full D-Band Low Noise Amplifier in 130 nm SiGe BiCMOS using Zero-Ohm Transmission Lines,SiGe BiCMOS,130,170,7.9,,,,,,,,,
MWCL,2008,2,Zhang,80-GHz Tuned Amplifier in Bulk CMOS,CMOS,65,80,8,,,,,,,,,
TMTT,2010,5,May,Design and Characterization of -Band SiGe RFICs for Passive Millimeter-Wave Imaging,SiGe BiCMOS,120,82,8,,,,,,,,,Simulated
TMTT,2016,5,Heller,A 102–129-GHz 39-dB Gain 8.4-dB Noise Figure I/Q Receiver Frontend in 28-nm CMOS,CMOS,28,115,8.4,,,,,,,,,
TMTT,2016,5,Haller,A 102–129-GHz 39-dB Gain 8.4-dB Noise Figure I/Q Receiver Frontend in 28-nm CMOS,CMOS,28,115,8.4,,,,,,,,,
DCIS,2021,11,Urian,Design and Layout Considerations of a D-Band SiGe LNA for Radiometric Applications,SiGe BiCMOS,130,187.5,8.4,,,,,,,,,Simulated
RFIC,2019,6,Farid,A Broadband Direct Conversion Transmitter/Receiver at D-band Using CMOS 22nm FDSOI,CMOS SOI,22,135,8.5,,,,,,,,,Simulated
JSSC,2021,3,Kucharski,Monostatic and Bistatic G-Band BiCMOS Radar Transceivers With On-Chip Antennas and Tunable TX-to-RX Leakage Cancellation,SiGe BiCMOS,130,150,8.5,,,,,,,,,Simulated
SSCL,2021,1,Karakuzulu,Full D-Band Transmit–Receive Module for Phased Array Systems in 130-nm SiGe BiCMOS,SiGe BiCMOS,130,120,9,,,,,,,,,
RFIC,2021,6,Wang,A 2-Channel 136-156 GHz Dual Down-Conversion I/Q Receiver with 30 dB Gain and 9.5 dB NF Using CMOS 22nm FDSOI,CMOS SOI,22,140,9,,,,,,,,,
JSSC,2023,Early Access,Li,A 220-GHz Sliding-IF Quadrature Transmitter and Receiver Chipset for High Data Rate Communication in 0.13-μm SiGe BiCMOS,SiGe BiCMOS,130,217,9,,,,,,,,,
RFIC,2021,6,Tang,A 140 GHz T/R Front-End Module in 22 nm FD-SOI CMOS,CMOS SOI,22,140,9.2,,,,,,,,,
JSSCC,2022,1,Tang,Design and Analysis of a 140-GHz T/R Front-End Module in 22-nm FD-SOI CMOS,CMOS SOI,22,140,9.2,,,,,,,,,
RFIC,2022,6,Hamani,A 56.32 Gb/s 16-QAM D-band Wireless Link using RX-TX Systemsin-Package with Integrated Multi-LO Generators in 45nm RFSOI,CMOS SOI,45,140,10,,,,,,,,,
TCS,2020,12,Pan,A 76–81-GHz Four-Channel Digitally Controlled CMOS Receiver for Automotive Radars,CMOS,65,78,11,,,,,,,,,
SSCL,2021,1,Karakuzulu,Full D-Band Transmit–Receive Module for Phased Array Systems in 130-nm SiGe BiCMOS,SiGe BiCMOS,130,110,11,,,,,,,,,
RFIC,2022,6,Yang, A Millimeter-Wave Mixer-First Receiver with Non-Uniform Time-Approximation Filter Achieving >45dB Blocker Rejection,CMOS,28,34,12,,,,,,,,,System
SiRF,2021,3,Ciocoveanu,Low-Power 60GHz Receiver with an Integrated Analog Baseband for FMCW Radar Applications in 28nm CMOS Technology,CMOS,28,60.5,12,,,,,,,,,Receiver Frontend
TMTT,2021,6,Amendola,Compact E-Band I/Q Receiver in SiGe BiCMOS for 5G Backhauling Applications,CMOS,55,72,13,,,,,,,,,
MWCL,2022,2,Turkmen,A 225-265 GHz I-Q Receiver in 130-nm SiGe BiCMOS for FMCW Radar Applications,SiGe BiCMOS,130,240,13.2,,,,,,,,,
MWCL,2022,2,Turkmen,A 225–265 GHz I-Q Receiver in 130-nm SiGe BiCMOS for FMCW Radar Applications,SiGe BiCMOS,130,240,13.2,,,,,,,,,
MWCL,2022,2,Turkmen,A 225–265 GHz I-Q Receiver in 130-nm SiGe BiCMOS for FMCW Radar Applications,SiGe BiCMOS,130,260,13.5,,,,,,,,,
JSSC,2021,6,Hosseinzadeh,A Distributed Low-Noise Amplifier for Broadband Linearization of a Silicon Photonic Mach–Zehnder Modulator,SiGe BiCMOS,130,9,13.6,,,,,,,,,
MWCL,2022,1,Cheng,110-140-GHz Wide-IF-Band 65-nm CMOS Receiver Design for Fusion Plasma Diagnostics,CMOS,65,106,14,,,,,,,,,
IMS,2022,6,Chen,A Flip-Chip 180-GHz Receiver in 40-nm CMOS ,CMOS,40,180,15.1,,,,,,,,,
EuMA,2023,9,Landsberg,High Linearity 76-81 GHz LNA Using a 16 nm FinFET Technology for Phased Array Radar  Applications,CMOS FinFET,16,82,17,,,,,,,,,
RFIC,2022,6,Pashaeifar,A Millimeter-Wave Front-End for FD/FDD Transceivers Featuring an Embedded PA and an N-Path Filter Based Circulator Receiver,CMOS,40,31,28.9,,,,,,,,,System
MWTL,2025,5,Li,A 7.3–9.5-GHz Cryogenic LNA Based on Passive Noise Cancellation for Qubit State Readout,CMOS,28,8.4,0.5,8.4,0.5,26.7,-47.2,I,-38,2.2,4.05,
MWTL,2025,5,Nguyen,A 140-GHz Low-Noise Amplifier in 45-nm RFSOI Based on a Joint-Noise-and-Gain-Optimized Embedding Network,RFSOI,45,138,5.32,138,5.32,30.75,-2.43,O ,,7.4,25,
